id,source,target,x1,y1,x2,y2
1,1,2,127.0177654,37.521773,127.0224207,37.5241261
2,2,3,127.0224207,37.5241261,127.0283852,37.5271729
3,3,4,127.0283852,37.5271729,127.0338086,37.5291715
4,4,5,127.0338086,37.5291715,127.0369359,37.5287888
5,5,6,127.0369359,37.5287888,127.0407015,37.527814
6,6,7,127.0407015,37.527814,127.0437581,37.5270338
7,8,9,127.0195686,37.516127,127.0234533,37.5177624
8,9,10,127.0234533,37.5177624,127.0281109,37.5197052
9,10,11,127.0281109,37.5197052,127.033868,37.521544
10,11,12,127.033868,37.521544,127.0391491,37.5231903
11,12,13,127.0391491,37.5231903,127.0473769,37.5242366
12,14,15,127.0213356,37.5111093,127.0307397,37.513997
13,15,16,127.0307397,37.513997,127.0353904,37.5154269
14,16,17,127.0353904,37.5154269,127.0412905,37.5172269
15,17,18,127.0412905,37.5172269,127.0502495,37.5188448
16,19,20,127.0244893,37.5045187,127.0338909,37.5073251
17,20,21,127.0338909,37.5073251,127.0384839,37.508668
18,21,22,127.0384839,37.508668,127.0438682,37.5102884
19,22,23,127.0438682,37.5102884,127.0533372,37.5130468
20,25,26,127.0276479,37.4979834,127.031041,37.4990081
21,26,27,127.031041,37.4990081,127.0369283,37.5008231
22,27,28,127.0369283,37.5008231,127.0427943,37.502616
23,28,29,127.0427943,37.502616,127.0490312,37.5044902
24,29,30,127.0490312,37.5044902,127.0566381,37.506869
25,32,33,127.0299733,37.4930464,127.0334228,37.4940902
26,33,34,127.0334228,37.4940902,127.0392536,37.4958618
27,34,35,127.0392536,37.4958618,127.044713,37.4985425
28,35,36,127.044713,37.4985425,127.0508683,37.5005566
29,36,37,127.0508683,37.5005566,127.0586486,37.503106
30,38,39,127.0316436,37.4895797,127.0350887,37.4906309
31,39,40,127.0350887,37.4906309,127.0367864,37.491122
32,40,41,127.0367864,37.491122,127.0409014,37.4923933
33,41,42,127.0409014,37.4923933,127.0467424,37.494202
34,42,43,127.0467424,37.494202,127.0529112,37.4962954
35,43,44,127.0529112,37.4962954,127.060934,37.4988766
36,45,46,127.0340673,37.484583,127.0382199,37.4851464
37,46,47,127.0382199,37.4851464,127.0413566,37.4855824
38,47,48,127.0413566,37.4855824,127.0454112,37.4863202
39,48,49,127.0454112,37.4863202,127.049867,37.4884271
40,49,50,127.049867,37.4884271,127.0554124,37.490925
41,50,51,127.0554124,37.490925,127.0598435,37.4929598
42,51,52,127.0598435,37.4929598,127.0632514,37.4945257
43,1,8,127.0177654,37.521773,127.0195686,37.516127
